Light;Light/Switch;A Lamp or Switch
WallSocket;Prise;Prise de courant
TV;Television;Television Screen
Harddisk;Hard disk;Hard disk drive
Printer;Imprimante;Imprimante
Amplifier;Amplificateur;Device that controls audio
Computer;Computer;Personal Computer System
Fan;Fan;Airflow Producer
Speaker;Speaker;Audio Speaker
Generic;Generic;Generic On/Off switch
Fireplace;Fireplace;Fireplace
Water;Water;Water
Media;Media Player;Multi Media player
Alarm;Alarm;Alarm
Play;Play;Play/Pause
Smartphone;Smartphone;Smartphone
Server;Serveur;Serveur
Xbmc;Xbmc;Xbmc
Nuit;Nuit;Nuit/Jour
LightChevet;Chevet;Chevet
Chaudiere;Chaudiere;Chaudiere
